Year,Week,Percent of Deaths Due to Pneumonia and Influenza,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths
2012,1,8.479120191,8.15718,8.49104,51102,4323,10
2012,2,8.343471606,8.22181,8.55556,50962,4245,7
2012,3,8.370907665,8.27534,8.60898,51010,4261,9
2012,4,8.448458027,8.31696,8.65049,50163,4227,11
2012,5,8.140332473,8.34602,8.67945,49568,4026,9
2012,6,8.109680266,8.36208,8.6954,49854,4024,19
2012,7,8.179700762,8.36486,8.69807,50662,4129,15
2012,8,8.292069481,8.3543,8.6874,50892,4191,29
2012,9,8.406218676,8.33051,8.6635,50879,4234,43
2012,10,8.681513599,8.2938,8.62668,50740,4346,59
2012,11,8.572442062,8.24467,8.57744,50744,4288,62
2012,12,8.349557881,8.18379,8.51646,49308,4060,57
2012,13,7.975231429,8.11203,8.44458,48287,3796,55
2012,14,8.01182038,8.03036,8.36281,48391,3829,48
2012,15,7.70626121,7.93996,8.2723,49064,3758,23
2012,16,7.622300393,7.84208,8.17431,48896,3690,37
2012,17,7.504729435,7.7381,8.07023,48103,3573,37
2012,18,7.437636029,7.6295,7.96152,47784,3527,27
2012,19,7.159214948,7.51781,7.84971,46723,3330,15
2012,20,7.117627032,7.4046,7.7364,46996,3329,16
2012,21,7.064485082,7.29147,7.62316,46755,3290,13
2012,22,6.835267023,7.18002,7.5116,46026,3138,8
2012,23,6.638762433,7.07181,7.40328,46349,3068,9
2012,24,6.747456613,6.96838,7.29974,46788,3153,4
2012,25,6.826656261,6.87116,7.20241,46128,3147,2
2012,26,6.862425939,6.78153,7.11267,46077,3159,3
2012,27,6.447052776,6.70073,7.03176,46688,3004,6
2012,28,6.607881559,6.62988,6.96081,45930,3033,2
2012,29,6.557091542,6.56997,6.90079,45935,3011,1
2012,30,6.330222982,6.52181,6.85252,45654,2889,1
2012,31,6.620209059,6.48604,6.81665,45920,3039,1
2012,32,6.570429829,6.46314,6.79364,46344,3040,5
2012,33,6.583304287,6.45339,6.78377,45904,3018,4
2012,34,6.425215942,6.45687,6.78715,46193,2964,4
2012,35,6.523897932,6.47348,6.80365,46322,3017,5
