X,actlevel,WEEK
2008-09-1,1.1764705882352942,1.0
2013-14-1,6.0754716981132075,1.0
2016-17-1,3.830188679245283,1.0
2015-16-1,1.7169811320754718,1.0
2011-12-1,1.3269230769230769,1.0
2014-15-1,6.509433962264151,1.0
2010-11-1,2.269230769230769,1.0
2012-13-1,7.4423076923076925,1.0
2017-18-1,7.226415094339623,1.0
2009-10-1,1.6153846153846154,1.0
2018-19-1,5.490566037735849,1.0
2014-15-2,6.660377358490566,2.0
2010-11-2,3.0576923076923075,2.0
2017-18-2,7.773584905660377,2.0
2013-14-2,5.433962264150943,2.0
2015-16-2,1.7358490566037736,2.0
2018-19-2,5.056603773584905,2.0
2009-10-2,1.5384615384615385,2.0
2011-12-2,1.25,2.0
2016-17-2,3.849056603773585,2.0
2008-09-2,1.2549019607843137,2.0
2012-13-2,7.5576923076923075,2.0
2008-09-3,1.4901960784313726,3.0
2013-14-3,5.188679245283019,3.0
2010-11-3,3.9615384615384617,3.0
2016-17-3,5.037735849056604,3.0
2009-10-3,1.6538461538461537,3.0
2014-15-3,7.226415094339623,3.0
2012-13-3,7.769230769230769,3.0
2018-19-3,5.943396226415095,3.0
2015-16-3,1.9811320754716981,3.0
2017-18-3,8.415094339622641,3.0
2011-12-3,1.3653846153846154,3.0
2011-12-4,1.4423076923076923,4.0
2016-17-4,5.60377358490566,4.0
2017-18-4,8.81132075471698,4.0
2014-15-4,6.754716981132075,4.0
2009-10-4,1.7115384615384615,4.0
2018-19-4,6.867924528301887,4.0
2010-11-4,4.980769230769231,4.0
2015-16-4,2.2830188679245285,4.0
2008-09-4,1.9215686274509804,4.0
2012-13-4,7.096153846153846,4.0
2013-14-4,5.30188679245283,4.0
2009-10-5,2.0576923076923075,5.0
2011-12-5,1.8076923076923077,5.0
2013-14-5,4.735849056603773,5.0
2016-17-5,6.528301886792453,5.0
2014-15-5,5.886792452830188,5.0
2012-13-5,6.1923076923076925,5.0
2010-11-5,5.788461538461538,5.0
2017-18-5,9.056603773584905,5.0
2008-09-5,2.8627450980392157,5.0
2018-19-5,7.452830188679245,5.0
2015-16-5,2.490566037735849,5.0
2008-09-6,3.843137254901961,6.0
2018-19-6,7.660377358490566,6.0
2017-18-6,9.09433962264151,6.0
2014-15-6,5.056603773584905,6.0
2009-10-6,1.8461538461538463,6.0
2016-17-6,7.113207547169812,6.0
2015-16-6,3.30188679245283,6.0
2010-11-6,5.8076923076923075,6.0
2012-13-6,5.0,6.0
2011-12-6,1.8269230769230769,6.0
2013-14-6,4.0754716981132075,6.0
2018-19-7,8.056603773584905,7.0
2009-10-7,1.8846153846153846,7.0
2010-11-7,6.384615384615385,7.0
2012-13-7,4.1923076923076925,7.0
2011-12-7,2.173076923076923,7.0
2017-18-7,8.679245283018869,7.0
2015-16-7,4.037735849056604,7.0
2013-14-7,3.188679245283019,7.0
2008-09-7,3.803921568627451,7.0
2014-15-7,4.433962264150943,7.0
2016-17-7,6.773584905660377,7.0
2013-14-8,2.641509433962264,8.0
2017-18-8,7.981132075471698,8.0
2015-16-8,4.471698113207547,8.0
2018-19-8,8.056603773584905,8.0
2011-12-8,2.3846153846153846,8.0
2016-17-8,6.509433962264151,8.0
2008-09-8,3.980392156862745,8.0
2012-13-8,3.576923076923077,8.0
2014-15-8,3.69811320754717,8.0
2010-11-8,5.788461538461538,8.0
2009-10-8,1.75,8.0
2016-17-9,5.113207547169812,9.0
2014-15-9,3.4716981132075473,9.0
2015-16-9,4.9245283018867925,9.0
2018-19-9,7.679245283018868,9.0
2009-10-9,1.8461538461538463,9.0
2012-13-9,2.826923076923077,9.0
2008-09-9,3.6862745098039214,9.0
2017-18-9,6.490566037735849,9.0
2010-11-9,4.8076923076923075,9.0
2011-12-9,2.4615384615384617,9.0
2013-14-9,2.0943396226415096,9.0
2012-13-10,2.8653846153846154,10.0
2017-18-10,5.2075471698113205,10.0
2008-09-10,2.784313725490196,10.0
2009-10-10,1.75,10.0
2016-17-10,5.056603773584905,10.0
2013-14-10,2.018867924528302,10.0
2015-16-10,5.773584905660377,10.0
2018-19-10,7.6415094339622645,10.0
2010-11-10,3.576923076923077,10.0
2011-12-10,2.5961538461538463,10.0
2014-15-10,3.1320754716981134,10.0
2016-17-11,4.433962264150943,11.0
2018-19-11,7.264150943396227,11.0
2011-12-11,3.1346153846153846,11.0
2008-09-11,2.2941176470588234,11.0
2009-10-11,1.6153846153846154,11.0
2012-13-11,2.5576923076923075,11.0
2015-16-11,4.716981132075472,11.0
2013-14-11,1.679245283018868,11.0
2014-15-11,2.7169811320754715,11.0
2010-11-11,2.4038461538461537,11.0
2017-18-11,4.30188679245283,11.0
2013-14-12,1.7169811320754718,12.0
2014-15-12,2.339622641509434,12.0
2012-13-12,1.8653846153846154,12.0
2011-12-12,2.076923076923077,12.0
2015-16-12,3.7358490566037736,12.0
2017-18-12,3.7547169811320753,12.0
2008-09-12,1.6862745098039216,12.0
2009-10-12,1.3269230769230769,12.0
2018-19-12,6.30188679245283,12.0
2010-11-12,1.5961538461538463,12.0
2016-17-12,4.169811320754717,12.0
2016-17-13,3.7358490566037736,13.0
2014-15-13,2.1320754716981134,13.0
2010-11-13,1.4038461538461537,13.0
2018-19-13,5.056603773584905,13.0
2009-10-13,1.25,13.0
2013-14-13,1.679245283018868,13.0
2012-13-13,1.7884615384615385,13.0
2008-09-13,1.411764705882353,13.0
2017-18-13,3.150943396226415,13.0
2011-12-13,1.5961538461538463,13.0
2015-16-13,3.2830188679245285,13.0
2011-12-14,1.5769230769230769,14.0
